track,country,time,race_name,race_class,handicap_rating,age_class,distance_mls,distance,going,prize,total_runners,winning_time,winning_timevar,total_sp,position,row_index,draw,horse_name,horse_country,price_decimal,price_fraction,price_symbol,horse_age,birth_year,horse_weight,dist_upper,dist_beaten,racecard_number,horse_or,horse_ts,horse_rpr,horse_jockey,horse_trainer,color,sex,sire,dam,damsire,price_var,headgear,wind_12
,,03:10:00,C4: Handicap; C5: Grade B; C6: Chase;,,,,2.5284,,,"1: £2,989.08; 2: £877.68; 3: £438.84; 4: £350; 5: £350; 6: £350; 7: £350; 8: £350",,108.26,-13.80,129.00,,,,Archies Charm,,4.600,2/1,,,,133.0,6.5000,5.5000,,64.0,22.0,28.0,Ben Curtis,Barbara Butterworth,,,Awtaad (IRE),Andrea Gale (IRE),Arakan,op 11/1 tchd 10/1,,
,,03:17:00,C4: Handicap; C6: Chase;,,,,2.6131,,,"1: £25,024; 2: £7,392; 3: £3,696; 4: £1,848; 5: £924; 6: £464",,110.99,-13.60,130.00,,,,Arctic Flower,,5.000,20/1,,,,134.0,7.0000,5.7500,,65.0,23.0,29.0,Ben Poste,Barry Brennan,,,Bahamian Bounty,Angara,Arcano,op 11/1 tchd 14/1,,
,,03:20:00,C4: Handicap; C6: Hurdle;,,,,2.6409,,,"1: £3,249; 2: £954; 3: £477; 4: £238.50",,112.39,-12.51,132.00,,,,Artemision,,5.500,200/1,,,,135.0,7.5000,6.0000,,66.0,24.0,30.0,Ben Robinson,Ben Haslam,,,Balko (FR),Angel Grace (IRE),Arch,op 11/1 tchd 16/1,,
,,03:25:00,C4: Listed; C6: Hurdle;,,,,2.9835,,,"1: £3,428.57; 2: £1,020.25; 3: £509.86; 4: £254.93",,113.00,-12.50,134.00,,,,Artistic Work,,6.000,22/1,,,,136.0,8.0000,6.2500,,67.0,25.0,31.0,Billy Garritty,Ben Pauling,,,Ballingarry (IRE),Angels Story (IRE),Arctic Lord,op 11/1 tchd 17/2,,
,,03:30:00,C4: Listed; C7: Fillies; C8: Stakes;,,,,3.0284,,,"1: £3,428.57; 2: £1,020.25; 3: £509.86; 4: £300; 5: £300; 6: £300; 7: £300; 8: £300",,113.05,-12.30,,,,,Atalanta Breeze,,6.500,25/1,,,,137.0,8.5000,6.5000,,68.0,26.0,33.0,Brendan Powell,Bernard Llewellyn,,,Bated Breath,Anna Barkova (IRE),Aristocracy,op 11/1 tchd 22/1,,
,,03:32:00,C4: Listed; C8: Stakes;,,,,3.1233,,,"1: £3,557.95; 2: £1,058.75; 3: £529.10; 4: £264.55",,113.43,-12.10,,,,,Atalanta Queen,,7.000,250/1,,,,138.0,9.0000,6.7500,,69.0,27.0,34.0,Brett Doyle,Brett Johnson,,,Beat Hollow,Aptina (USA),Artan,op 11/1 tchd 8/1,,
,,03:35:00,C6: Hurdle;,,,,3.2114,,,"1: £3,557.95; 2: £1,058.75; 3: £529.10; 4: £300; 5: £300; 6: £300; 7: £300",,120.90,-11.70,,,,,Atletico,,7.500,28/1,,,,139.0,9.5000,7.0000,,70.0,28.0,35.0,Brian Hayes,Brian Ellison,,,Belardo (IRE),Aqua Breezer (IRE),Ashkalani,op 11/2,,
,,03:40:00,C8: Flat;,,,,3.6523,,,"1: £3,557.95; 2: £1,058.75; 3: £529.10; 4: £300; 5: £300; 6: £300; 7: £300; 8: £300",,131.57,-11.63,,,,,Atomic Jack,,8.000,3/1,,,,140.0,10.0000,7.2500,,71.0,29.0,36.0,Brian Hughes,Brian Jordan,,,Beneficial,Aquatint,Atraf,op 11/2 tchd 12/1,,
,,03:45:00,,,,,,,,"1: £3,768.84; 2: £1,106.64; 3: £553.32; 4: £276.66",,140.51,-11.25,,,,,Aurora Princess,,8.500,300/1,,,,141.0,11.0000,7.5000,,72.0,30.0,37.0,Bruce Lynn,Bryan Smart,,,Big Bad Bob (IRE),Ar Muin Na Muice (IRE),Authorized,op 11/2 tchd 13/2,,
,,03:50:00,,,,,,,,"1: £3,768.84; 2: £1,106.64; 3: £553.32; 4: £350; 5: £350",,143.59,-11.05,,,,,Awake My Soul,,9.000,33/1,,,,142.0,12.0000,7.7500,,73.0,31.0,38.0,Bryan Carver,Camilla Poulton,,,Blue Bresil (FR),Arabescatta,Avonbridge,op 11/2 tchd 4/1,,
,,03:52:00,,,,,,,,"1: £3,768.84; 2: £1,106.64; 3: £553.32; 4: £350; 5: £350; 6: £350",,143.90,-10.92,,,,,Awkwafina,,9.500,4/1,,,,143.0,13.0000,8.0000,,74.0,32.0,39.0,Bryony Frost,Charles Hills,,,Born To Sea (IRE),Arabian Hideway (IRE),Azamour,op 11/2 tchd 5/1,,
,,04:00:00,,,,,,,,"1: £4,288.68; 2: £1,259.28; 3: £629.64; 4: £350; 5: £350; 6: £350; 7: £350",,153.33,-10.89,,,,,Azor Ahai,,10.000,4/6,,,,144.0,14.0000,8.2500,,75.0,33.0,40.0,Callum Bewley,Charles O'Brien,,,Brian Boru,Araqella (IRE),Bach,op 11/2 tchd 9/2,,
